0.405,789.324,1093.345,796.652,965.635,919.915,550.122,885.119,100.13,861.336,45.938,1001.147,37.163
0.41,797.288,1095.485,805.713,967.777,923.451,550.165,883.095,102.13,861.426,46.125,1001.222,37.106
0.415,805.478,1097.643,814.861,969.823,926.788,550.377,883.399,102.324,861.545,46.292,1001.295,37.039
0.42,813.811,1099.773,823.984,971.842,930.055,550.648,886.241,100.68,861.617,46.495,1001.387,36.96
0.425,821.741,1101.867,832.999,973.738,933.137,551.084,886.572,100.878,861.739,46.634,1001.42,36.916
0.43,830.17,1103.957,841.757,975.47,936.757,551.652,886.803,101.155,861.793,46.843,1001.431,36.842
0.435,838.333,1106.046,850.13,977.054,939.532,552.199,887.062,101.396,861.86,47.085,1001.457,36.792
0.44,846.495,1108.098,858.192,978.586,942.237,552.674,887.191,101.582,861.644,47.368,1001.435,36.75
0.445,854.716,1110.108,866.166,979.963,944.743,553.066,887.362,101.828,861.702,47.572,1001.419,36.643
0.45,862.9,1112.067,873.897,981.319,946.986,553.418,887.587,102.073,861.775,47.81,1001.462,36.563
0.455,871.104,1114.057,881.408,982.615,948.512,553.546,887.855,102.281,861.897,48.017,1001.482,36.525
0.46,879.487,1115.928,888.855,983.808,950.531,553.854,888.164,102.527,861.943,48.23,1001.524,36.456
0.465,887.868,1117.807,896.103,984.924,952.418,554.105,888.458,102.755,862.055,48.363,1001.622,36.318
0.47,896.279,1119.635,902.02,985.999,954.385,554.267,886.453,104.912,861.787,49.032,1001.686,36.201
0.475,904.649,1121.436,909.616,987.111,956.256,554.534,886.751,105.072,861.891,49.176,1001.78,36.061
0.48,912.801,1123.108,916.984,988.129,958.185,554.769,887.082,105.235,861.971,49.324,1001.86,35.917
0.485,915.6,1124.004,924.06,989.018,960.127,554.939,887.397,105.398,862.107,49.394,1001.959,35.772
0.49,924.177,1125.529,931.177,989.788,961.996,555.116,887.71,105.535,862.179,49.533,1001.994,35.627
0.495,933.414,1126.975,938.252,990.522,963.828,555.352,887.991,105.749,862.275,49.675,1002.028,35.534
0.5,942.532,1128.275,945.437,991.22,965.686,555.523,888.193,106.001,861.746,50.223,1002.104,35.393
0.505,951.322,1129.315,952.57,991.852,967.475,555.833,888.46,106.239,861.851,50.408,1002.098,35.338
0.51,959.718,1130.188,959.78,992.45,969.33,556.103,888.715,106.526,861.943,50.622,1002.078,35.29
0.515,967.554,1130.904,967.101,993.003,971.282,556.342,888.973,106.798,862.03,50.854,1002.065,35.277
0.52,975.205,1131.46,974.62,993.455,973.276,556.474,889.224,107.125,862.538,50.616,1002.071,35.269
0.525,982.796,1132.01,982.288,993.793,975.263,556.672,889.505,107.527,862.665,50.934,1002.055,35.284
0.53,990.419,1132.36,990.072,994.041,977.272,556.855,891.011,106.715,862.788,51.232,1002.02,35.296
0.535,997.898,1132.718,996.821,994.28,979.32,556.979,891.348,107.136,862.926,51.539,1002.027,35.326
0.54,1005.557,1132.85,1004.148,994.316,981.425,557.066,891.705,107.516,863.006,51.919,1002.056,35.345
0.545,1013.101,1132.922,1011.328,994.288,983.981,556.894,892.087,107.82,863.141,52.25,1002.037,35.397
0.55,1020.63,1132.865,1018.496,994.142,985.669,557.162,892.425,108.21,863.277,52.606,1002.091,35.442
0.555,1026.724,1132.599,1025.682,993.86,987.782,557.207,892.826,108.566,863.437,52.957,1002.11,35.473
0.56,1034.349,1132.337,1032.732,993.472,989.972,557.173,893.261,108.941,863.592,53.288,1002.138,35.522
0.565,1042.308,1131.98,1039.733,992.998,992.215,557.115,893.633,109.344,863.561,53.807,1002.195,35.506
0.57,1050.849,1131.271,1046.751,992.401,994.905,556.918,894.024,109.706,863.885,54.014,1002.229,35.495
0.575,1058.448,1130.593,1053.728,991.728,997.323,556.815,894.465,110.107,864.017,54.35,1002.304,35.451
0.58,1066.045,1129.798,1061.62,990.64,999.726,556.837,894.868,110.42,864.169,54.68,1002.331,35.399
0.585,1073.652,1128.842,1068.786,989.709,1002.335,556.801,895.277,110.726,864.307,55.039,1002.377,35.322
0.59,1081.149,1127.882,1075.838,988.769,1004.626,556.951,895.671,111.066,864.464,55.376,1002.437,35.259
0.595,1088.713,1126.783,1082.825,987.751,1007.343,556.969,896.083,111.404,864.592,55.776,1002.467,35.216
0.6,1096.145,1125.692,1089.94,986.639,1010.104,556.931,896.484,111.779,864.737,56.173,1002.409,35.216
0.605,1103.613,1124.539,1096.95,985.576,1012.866,556.887,896.894,112.163,864.876,56.567,1002.35,35.215
0.61,1111.054,1123.3,1104.131,984.335,1015.713,556.848,897.324,112.59,865.006,56.975,1002.3,35.252
0.615,1118.453,1122.023,1110.972,983.277,1018.324,556.732,897.789,113.038,865.179,57.378,1002.247,35.314
0.62,1125.856,1120.665,1118.026,982.105,1021.592,556.566,898.252,113.473,865.29,57.856,1002.158,35.373
0.625,1133.434,1119.23,1125.411,980.673,1025.053,556.311,898.743,113.929,865.457,58.315,1002.101,35.421
0.63,1141.025,1117.687,1132.818,979.191,1028.844,555.879,899.263,114.388,865.639,58.812,1002.085,35.468
0.635,1148.696,1116.088,1140.463,977.565,1032.779,555.315,899.866,114.863,865.844,59.359,1002.074,35.48
0.64,1156.466,1114.393,1148.069,975.924,1037.13,554.781,900.482,115.43,866.042,59.961,1002.097,35.464
0.645,1164.235,1112.701,1155.856,974.208,1041.429,554.096,901.055,116.001,866.298,60.548,1002.157,35.435
0.65,1172.088,1110.949,1163.568,972.523,1045.859,553.339,901.721,116.472,866.536,61.153,1002.166,35.417
0.655,1180.148,1109.143,1171.508,970.764,1050.437,552.547,902.375,117.049,866.846,61.788,1002.225,35.336
0.66,1188.109,1107.324,1179.446,969.019,1055.034,551.893,903.104,117.632,867.106,62.564,1002.285,35.283
0.665,1196.249,1105.492,1187.234,967.403,1059.714,551.046,903.867,118.302,867.442,63.384,1002.316,35.25
0.67,1204.493,1103.64,1195.28,965.668,1064.593,550.391,904.656,119.022,867.797,64.226,1002.352,35.178
0.675,1212.726,1101.777,1201.604,963.609,1069.688,549.653,905.514,119.765,868.173,65.156,1002.413,35.08
0.68,1221.114,1099.92,1209.559,961.963,1074.808,549.081,906.396,120.638,868.582,66.159,1002.46,35.005
0.685,1229.604,1097.996,1217.833,960.426,1080.142,548.402,907.334,121.526,869.019,67.223,1002.454,35.036
0.69,1238.061,1096.124,1226.164,958.858,1085.624,547.718,908.352,122.466,869.486,68.417,1002.41,35.189
