Time,il_crest_X,il_crest_Z,grt_troc_X,grt_troc_Z,lat_con_X,lat_con_Z,lat_mall_X,lat_mall_Z,heel_X,heel_Z,5th_mtar_X,5th_mtar_Z,trunk_angle,thigh_angle,shank_angle,foot_angle,hip_angle,knee_angle,ankle_angle,hip_velocity,knee_velocity,ankle_velocity,heel_velo,heel_accel
0.26,0.518769,1.056756,0.540243,0.9285599999999999,0.7154450000000001,0.5459510000000001,0.845673,0.10409500000000001,0.845404,0.047805,0.975893,0.083955,99.5092806053082,114.60370436713073,106.42180069309458,89.72619564106891,-15.094423761822526,8.18190367403615,16.69560505202567,78.3954630270457,31.03616583955639,252.8138775181842,-0.1252999999999996,3.6500000000000346
0.265,0.528925,1.0559880000000001,0.550498,0.928083,0.723681,0.544264,0.849017,0.104113,0.847793,0.047193,0.979632,0.079294,99.57364538356015,114.28537593629568,105.89466473239338,88.76810914674542,-14.711730552735531,8.390711203902299,17.126555585647964,85.17361670400724,25.71047928426109,271.55576335546647,-0.10709999999999946,5.020000000000016
0.27,0.53901,1.055364,0.5608160000000001,0.927851,0.731963,0.542489,0.853861,0.103176,0.85001,0.046734000000000005,0.983109,0.074492,99.7042800360292,113.94696763081166,105.5079591639329,86.09679647835256,-14.242687594782453,8.43900846687876,19.411162685580337,89.52159959261357,19.232387661548938,464.44192576027876,-0.0750999999999994,3.269999999999934
0.275,0.549136,1.0548330000000001,0.57112,0.927901,0.740391,0.541235,0.85848,0.10234,0.851902,0.046442000000000004,0.985998,0.06984399999999999,99.82587442578529,113.64238898259468,105.0593539020769,83.28837905882614,-13.816514556809395,8.583035080517789,21.770974843250755,83.94867391611164,45.04686303180132,413.66486125491485,-0.07440000000000009,-0.03000000000007161
0.28,0.559176,1.0544310000000001,0.581365,0.9282480000000001,0.7490330000000001,0.540355,0.862349,0.101787,0.8534510000000001,0.04599,0.9892970000000001,0.064607,99.97336935990378,113.37657021552512,104.48709311832835,80.93928182019886,-13.403200855621336,8.889477097196774,23.54781129812949,61.47592896296061,88.09301193140341,311.5592435976382,-0.07540000000000012,1.5899999999999677
0.285,0.569283,1.054229,0.591461,0.928764,0.758188,0.540251,0.865698,0.10129900000000001,0.854763,0.045688000000000006,0.991111,0.060692,100.02441746390022,113.22617273108001,103.7622075312482,78.87564025202107,-13.201755267179792,9.463965199831819,24.886567279227123,25.14998644338829,155.25278910631144,215.88798514430565,-0.05850000000000049,2.9899999999999207
0.29,0.5792039999999999,1.054227,0.601448,0.92938,0.768278,0.541149,0.868443,0.100701,0.855784,0.045405,0.9925080000000001,0.057261000000000006,100.10238515666242,113.25408614784988,102.81208115959,77.10539001001746,-13.151700991187454,10.442004988259882,25.706691149572535,-22.442542081623152,222.73104354843676,113.26223643180943,-0.045500000000001053,2.5900000000000505
0.295,0.589441,1.054367,0.611287,0.93008,0.778978,0.542481,0.8706,0.10021,0.8565710000000001,0.045232999999999995,0.9942670000000001,0.054098,99.96907979061722,113.39526047861324,101.70398484329705,75.68479519975183,-13.426180687996023,11.691275635316188,26.019189643545218,-62.06020194971552,278.03936030138465,31.495926997743567,-0.03259999999999996,2.590000000000157
0.3,0.599315,1.054699,0.620951,0.930841,0.7904460000000001,0.544372,0.872519,0.099752,0.857292,0.045079,0.995257,0.051502000000000006,99.90867222137693,113.68097523206154,100.45857664078781,74.43692622123784,-13.77230301068461,13.22239859127373,26.02165041954997,-103.25600539215563,312.44181262899076,-1.1520849246124942,-0.01959999999999946,2.78
0.305,0.609712,1.0552070000000002,0.630475,0.931679,0.802146,0.5461,0.8743719999999999,0.09938899999999999,0.857938,0.045037,0.996244,0.049368,99.54128018506707,114.00002092698465,99.18432716537855,73.17665837107945,-14.45874074191758,14.815693761606099,26.007668794299093,-122.19481769130869,310.86493010178174,-6.75206617969905,-0.004799999999999939,1.5599999999999614
0.31,0.6198920000000001,1.055917,0.640006,0.932717,0.813544,0.5477770000000001,0.876082,0.099142,0.858481,0.045031,0.997116,0.047366,99.27247235187149,114.26672353946918,97.93567564717763,71.98154588942465,-14.994251187597698,16.33104789229155,25.95412975775298,-102.00101609854775,286.198791748181,-10.509748456900061,-0.0039999999999998335,0.31999999999997253
0.315,0.630145,1.056829,0.649513,0.9339550000000001,0.824345,0.549188,0.877708,0.09890600000000001,0.858994,0.044997,0.997996,0.045450000000000004,98.95754064950192,114.43629155240498,96.75860987331707,70.85603856358698,-15.478750902903059,17.67768167908791,25.902571309730092,-75.1351631285899,261.9199644288043,-154.5640908300014,-0.0016000000000002108,0.2100000000000015
0.32,0.6402150000000001,1.057791,0.6589940000000001,0.935393,0.834311,0.550129,0.877884,0.09909000000000001,0.85938,0.045015,0.998674,0.043952,98.72262808115606,114.46823090003966,95.51798336346006,71.1094945140071,-15.745602818883597,18.950247536579596,24.408488849452965,-32.28409683978978,215.13417062632507,-177.54762235067557,-0.0018999999999998168,0.09000000000008984
0.325,0.6500309999999999,1.0590160000000002,0.668387,0.9369930000000001,0.84316,0.550929,0.878942,0.09904500000000001,0.8596900000000001,0.044978000000000004,0.999158,0.042787,98.55489591852732,114.35648778982828,94.52746440447712,70.40036931825378,-15.801591871300957,19.829023385351164,24.127095086223335,-12.072076421520695,157.40223215506276,-64.60009898545559,-0.0006999999999993116,2.2299999999999365
0.33,0.659937,1.0604939999999998,0.677694,0.938507,0.851069,0.551799,0.8797480000000001,0.09900199999999999,0.859948,0.045008000000000006,0.999578,0.041795000000000006,98.28207286991588,114.14839645301468,93.62412659488446,69.86163873528605,-15.866323583098804,20.524269858130225,23.76248785959841,-20.969922144890045,132.42051994759112,-49.36604195151655,0.020399999999999568,1.2999999999999101
